Date,Temperature,Precipitation
01/01/2024,M,0
02/01/2024,50.5,0
03/01/2024,49.5,0
04/01/2024,49,0.01
05/01/2024,45,0
06/01/2024,46,0
07/01/2024,M,0.04
08/01/2024,43.5,0
09/01/2024,43,0
10/01/2024,M,0
11/01/2024,M,0
12/01/2024,M,S
13/01/2024,M,0.00A
14/01/2024,M,0
15/01/2024,50,0
16/01/2024,51,0
17/01/2024,M,0
18/01/2024,57,0
19/01/2024,58,0
20/01/2024,58,0
21/01/2024,55,0.02
22/01/2024,53,0.02
23/01/2024,55.5,0.9
24/01/2024,58,0.04
25/01/2024,54.5,0
26/01/2024,54,0
27/01/2024,M,S
28/01/2024,M,0.00A
29/01/2024,M,0
30/01/2024,63.5,0
31/01/2024,63,0
01/02/2024,M,0
02/02/2024,60,0.51
03/02/2024,51,0
04/02/2024,56,0
05/02/2024,60,0
06/02/2024,60,0.05
07/02/2024,52,0.3
08/02/2024,49.5,0.32
09/02/2024,46.5,0.01
10/02/2024,49.5,0.16
11/02/2024,48,0
12/02/2024,50,0
13/02/2024,52.5,0
14/02/2024,53,0
15/02/2024,56.5,0
16/02/2024,55.5,0
17/02/2024,57.5,0
18/02/2024,59,0
19/02/2024,M,0
20/02/2024,62.5,0
21/02/2024,58,0
22/02/2024,59.5,0
23/02/2024,62,0
24/02/2024,63,0
25/02/2024,65.5,0
26/02/2024,67.5,0
27/02/2024,60,0
28/02/2024,59.5,0
01/03/2024,62,0
02/03/2024,M,S
03/03/2024,M,0.00A
04/03/2024,56.5,0
05/03/2024,60,0
06/03/2024,56.5,0
07/03/2024,M,0.22
08/03/2024,58.5,0.22
09/03/2024,60.5,0
10/03/2024,63.5,0
11/03/2024,65,0
12/03/2024,61.5,0
13/03/2024,M,0
14/03/2024,58.5,0
15/03/2024,M,0.25
16/03/2024,54,0.01
17/03/2024,M,0.02
18/03/2024,60.5,0
19/03/2024,61.5,0
20/03/2024,M,S
21/03/2024,M,0.00A
22/03/2024,67.5,0
23/03/2024,M,S
24/03/2024,M,0.26A
25/03/2024,M,0.03
26/03/2024,M,0.01
27/03/2024,M,0
28/03/2024,64,0
29/03/2024,M,S
30/03/2024,M,0.00A
31/03/2024,M,0.39
01/04/2024,M,0.5
02/04/2024,59.5,0
03/04/2024,62,0
04/04/2024,69,0
05/04/2024,M,0.01
06/04/2024,55,0
07/04/2024,57.5,0
08/04/2024,59.5,0
09/04/2024,M,0
10/04/2024,66.5,0
11/04/2024,73,0
12/04/2024,M,0
13/04/2024,M,0
14/04/2024,M,0
15/04/2024,M,0
16/04/2024,67,0
17/04/2024,M,0
18/04/2024,74,0
19/04/2024,72.5,0
20/04/2024,M,S
21/04/2024,M,0.00A
22/04/2024,M,0
23/04/2024,M,0
24/04/2024,M,0
25/04/2024,74,0
26/04/2024,69.5,0
27/04/2024,M,0
28/04/2024,71.5,0
29/04/2024,75.5,0
30/04/2024,77,0
01/05/2024,75.5,0
02/05/2024,77.5,0
03/05/2024,76.5,0
04/05/2024,77.5,0
05/05/2024,78,0
06/05/2024,71.5,0
07/05/2024,71.5,0
08/05/2024,74.5,0
09/05/2024,71.5,0
10/05/2024,M,0
11/05/2024,73.5,0
12/05/2024,78,0
13/05/2024,79.5,0
14/05/2024,82.5,0
15/05/2024,80,0
16/05/2024,79.5,0
17/05/2024,84,0
18/05/2024,85.5,0
19/05/2024,82.5,0
20/05/2024,77.5,0
21/05/2024,75.5,0
22/05/2024,77,0
23/05/2024,77.5,0
24/05/2024,78.5,0
25/05/2024,78.5,0
26/05/2024,78.5,0
27/05/2024,83,0
28/05/2024,84.5,0
29/05/2024,84,0
30/05/2024,84,0
31/05/2024,85,0
01/06/2024,85.5,0
02/06/2024,84.5,0
03/06/2024,M,0
04/06/2024,M,0
05/06/2024,89.5,0
06/06/2024,91,0
07/06/2024,93,0
08/06/2024,M,0
09/06/2024,89,0
10/06/2024,M,0
11/06/2024,M,0
12/06/2024,M,0
13/06/2024,M,0
14/06/2024,87.5,0
15/06/2024,89,0
16/06/2024,89.5,0
17/06/2024,M,0
18/06/2024,M,0
19/06/2024,89,0
20/06/2024,90.5,0
21/06/2024,M,S
22/06/2024,M,0.00A
23/06/2024,96,0
24/06/2024,95.5,0
25/06/2024,M,0
26/06/2024,M,0
27/06/2024,M,0
28/06/2024,M,0
29/06/2024,93.5,0
30/06/2024,M,0
01/07/2024,91,0.09
02/07/2024,M,0
03/07/2024,M,0
04/07/2024,M,0
05/07/2024,99,0
06/07/2024,M,S
07/07/2024,M,0.00A
08/07/2024,M,0
09/07/2024,98,0
10/07/2024,M,0
11/07/2024,97.5,0
12/07/2024,M,0
13/07/2024,M,S
14/07/2024,M,0.00A
15/07/2024,M,0
16/07/2024,95.5,0
17/07/2024,M,0
18/07/2024,M,0
19/07/2024,M,0
20/07/2024,M,0
21/07/2024,M,0
22/07/2024,93.5,0
23/07/2024,99.5,0
24/07/2024,98.5,0
25/07/2024,M,0
26/07/2024,90.5,0
27/07/2024,97,0
28/07/2024,94.5,0
29/07/2024,91.5,0
30/07/2024,96,0
31/07/2024,M,0
01/08/2024,94.5,0
02/08/2024,97,0
03/08/2024,M,0
04/08/2024,100,0
05/08/2024,100,0.01
06/08/2024,98,0
07/08/2024,93,0
08/08/2024,M,0
09/08/2024,95.5,0
10/08/2024,96.5,0
11/08/2024,94.5,0
12/08/2024,94.5,0
13/08/2024,95.5,0
14/08/2024,96,0
15/08/2024,95,0
16/08/2024,97.5,0
17/08/2024,M,0
18/08/2024,92,0.13
19/08/2024,95.5,0
20/08/2024,97,0
21/08/2024,95,0
22/08/2024,89,0.7
23/08/2024,91,0.01
24/08/2024,94,0
25/08/2024,92,0
26/08/2024,90.5,0
27/08/2024,92,0
28/08/2024,93,0
29/08/2024,M,S
30/08/2024,M,0.00A
31/08/2024,94.5,0
01/09/2024,94.5,0
02/09/2024,92,0
03/09/2024,94,0
04/09/2024,94,0
05/09/2024,96.5,0
06/09/2024,96,0
07/09/2024,94,0
08/09/2024,93.5,0
09/09/2024,M,0
10/09/2024,91.5,0
11/09/2024,90.5,0
12/09/2024,87,0
13/09/2024,M,S
14/09/2024,M,0.00A
15/09/2024,M,0
16/09/2024,87.5,0.02
17/09/2024,81.5,0
18/09/2024,M,0
19/09/2024,80.5,0
20/09/2024,M,0
21/09/2024,80.5,0
22/09/2024,81,0
23/09/2024,86.5,0
24/09/2024,88.5,0
25/09/2024,M,0
26/09/2024,90.5,0
27/09/2024,91.5,0
28/09/2024,94,0
29/09/2024,94,0
30/09/2024,M,0
01/10/2024,93,0
02/10/2024,93,0
03/10/2024,90.5,0
04/10/2024,M,0
05/10/2024,90,0
06/10/2024,89.5,0
07/10/2024,M,0
08/10/2024,88.5,0
09/10/2024,88,0
10/10/2024,90.5,0
11/10/2024,M,0
12/10/2024,M,0
13/10/2024,M,S
14/10/2024,M,0.00A
15/10/2024,80.5,0
16/10/2024,M,0
17/10/2024,76,0
18/10/2024,M,0
19/10/2024,63.5,0
20/10/2024,68,0
21/10/2024,71.5,0
22/10/2024,75.5,0
23/10/2024,M,0
24/10/2024,76,0
25/10/2024,M,0
26/10/2024,78,0
27/10/2024,79,0
28/10/2024,74,0
29/10/2024,75,0
30/10/2024,61,0
31/10/2024,M,S
01/11/2024,M,0.00A
02/11/2024,62.5,0
03/11/2024,61,0.02
04/11/2024,M,0
05/11/2024,58.5,0
06/11/2024,58.5,0
07/11/2024,56.5,0
08/11/2024,55,0
09/11/2024,58,0
10/11/2024,65.5,0
11/11/2024,65.5,0
12/11/2024,59.5,0
13/11/2024,61,0
14/11/2024,64.5,0
15/11/2024,58.5,0
16/11/2024,58,0
17/11/2024,56.5,0
18/11/2024,56.5,0
19/11/2024,55.5,0
20/11/2024,60.5,0
21/11/2024,60.5,0
22/11/2024,65.5,0
23/11/2024,M,S
24/11/2024,60.5,0.00A
25/11/2024,63.5,0
26/11/2024,64,0
27/11/2024,M,S
28/11/2024,M,M
29/11/2024,M,0.00A
30/11/2024,63,0
01/12/2024,M,S
02/12/2024,M,0.00A
03/12/2024,65.5,0
04/12/2024,62.5,0
05/12/2024,61,0
06/12/2024,65,0
07/12/2024,63,0
08/12/2024,59.5,0
09/12/2024,57,0
10/12/2024,56.5,0
11/12/2024,M,0
12/12/2024,61,0
13/12/2024,54.5,0
14/12/2024,54.5,0
15/12/2024,55,0
16/12/2024,52.5,0
17/12/2024,54,0
18/12/2024,60.5,0
19/12/2024,64.5,0
20/12/2024,65,0
21/12/2024,60.5,0
22/12/2024,M,S
23/12/2024,M,0.00A
24/12/2024,60,0
25/12/2024,59,0
26/12/2024,M,S
27/12/2024,M,0.00A
28/12/2024,53,0
29/12/2024,M,S
30/12/2024,M,0.00A
31/12/2024,56,0
